BMQDV;yCeTE 2;biGQs 4
retnakamaladewi;"Ini bukan pertama kali saya mengunjungi borobudur, mungkin 6th 5th atau waktu. Pada kunjungan sebelumnya kami di sore hari. Kali ini. Saya & keluarga (suami & 2 anak) berencana untuk mengunjungi borobudur di pagi hari sangat awal untuk melihat matahari terbit. Tentu saja saya melakukan penelitian sebelum pergi ke sana aku di situs web dan disebut candi borobudur pt taman wisata call center, petugas mengatakan bahwa terakhir kali jika kita ingin melihat matahari terbit di 5:30Aku pergi dari Purworejo (ibu saya di rumah mertua) di 3 jam dengan mobil. Dari borobudur di magelang Purworejo mengambil 1 jam berkendara dengan mobil. Kami tiba di pintu gerbang utama candi borobudur di 4:15, tetapi beberapa penduduk yang tinggal di dekat pintu gerbang mengatakan bahwa terbuka di 6 am. Aku merasa sangat aneh karena informasi yang tidak sama dengan call center mengatakan sebelumnya, jadi saya menghubungi call center lagi dan ternyata pintu untuk tur matahari terbit yang berbeda dari gerbang utama, kami harus pergi ke gerbang manohara yang terletak di hotel manohara. Di sekitar gerbang Manonahara 1 - 2 km dari gerbang utama dan saya; masih di area borobudur.Jika anda berada di gerbang utama sebelum 6 pagi, harap berhati-hati karena beberapa penghuni yang akan menawarkan anda untuk matahari terbit di lokasi yang berbeda (Punthuk Setumbu) yang memang terkenal sebagai lokasi film indonesia (AADC2), mereka akan biaya sekitar 200 000 rupiah untuk panduan untuk lokasi itu. Tapi saya beruntung. Aku menelepon pusat lagi yang disebut :) Akhirnya kami tiba di gerbang manohara di 4:30 Di gerbang masuk ada tiket liontin untuk matahari terbit. Untuk wisatawan lokal dikenakan biaya rp 270 000 untuk orang dewasa mereka, 135 000 rupiah untuk anak-anak (6 - 10 tahun) dan gratis untuk anak di bawah 5 tahun. Untuk orang asing, 400 000 rupiah untuk orang dewasa dan 200 000 rupiah untuk anak-anak. Dan ada juga yang biaya untuk menginap di tamu yang menginap di hotel manohara, 250 000 rupiah untuk orang dewasa dan rp 125 000 untuk anak-anak. Jika kita bandingkan dengan biaya di gerbang utama, yang biaya hanya 15 000 30 000 rupiah untuk orang dewasa dan untuk anak-anak, biaya ini tentu saja jauh lebih mahal, tapi aku berjanji bahwa anda tidak akan menyesal untuk melihat pemandangan yang indah dari matahari terbit di borobudur. Setelah kami membayar dan mendapatkan tiket, petugas juga memberikan kami senter karena untuk mencapai puncak candi borobudur kita harus berjalan kaki sekitar 1 km dari liontin dan pada 5 pagi masih gelap. Tapi jangan khawatir, ada petunjuk arah yang jelas menuju ke borobudur. Kami mencapai puncak candi di 5:15 dan kami harus menunggu sampai 5,30 - 5,45 pagi untuk melihat matahari terbit. Ini adalah pemandangan yang menakjubkan, dan itu lebih dari layak. objek wisata yang sangat direkomendasikan!";Ditulis pada 19 Agustus 2016
Joy;Saya sangat bersemangat untuk mendapatkan kesempatan untuk melihat kuil ini tapi itu kegembiraan pergi saat aku melihat keramaian di dalam tempat. Bahkan, antrian untuk masuk adalah luar biasa, dan karena kami orang asing kami harus membayar sepuluh kali lebih dari penduduk setempat. Aku membayar $20 untuk satu candi. Di tempat lain seperti di siem reap, kamboja dan bagan, myanmar yang anda akan memberikan kami akses ke banyak kuil di sebagian besar sudah tiga hari.Itu sulit untuk menghargai semua dengan begitu banyak orang, tetapi ketika kami mulai menjelajahi setiap lantai di dalam perjalanan turun, kami menemukan ruang kosong di mana kami bisa berpose untuk foto dan melihat bit dan potongan kuil dekat. Indah dan megah serta daerah sekitarnya juga bagus.Ada banyak hal untuk dilakukan di dalam kompleks kuil dan saya berharap kami memiliki lebih banyak waktu untuk menjelajahi kompleks candi.;Ditulis pada 18 Agustus 2016
QuakesNewYork;Apa yang ada untuk mengatakan, ini adalah harus mengunjungi ikon budaya. Kami pergi untuk mengunjungi di pagi hari saat matahari terbit. Sayangnya itu hujan turun renyai dengan terputus-putus. Meskipun sedikit tidak nyaman, tempat ini menyediakan sangat berbeda dengan foto yang akan diambil dalam cara yang baik. Staf disediakan gratis lampu senter dan ponco yang membantu banyak. Benar-benar menikmati kunjungan kami.;Ditulis pada 17 Agustus 2016
;;
OlegButenko1974;Pemandangan yang luar biasa dan sangat indah. Sebaiknya datang di pagi hari untuk menghindari massa. Pada hiasan patung, ukiran di tembok yang menceritakan legenda dan cerita yang sangat menarik.;Ditulis pada 17 Agustus 2016
Denise F;Mengunjungi kuil yang luar biasa ini di tur terbesar di dunia dan apa pengalaman yang fantastis. Setelah satu setengah jam berkendara, aku berharap bahwa aku tidak akan kecewa dan aku tidak. Aku pergi pada hari minggu dan itu sangat ramai, dan aku tidak mampu untuk menjelajahi candi dan juga saya akan suka karena banyak pengunjung. Unesco telah membantu memulihkan kuil dan saya terkesan bahwa candi telah dipugar dan dalam kondisi besar. Bagi saya itu layak perjalanan panjang. Taman sekitarnya indah disimpan. Mereka juga memiliki akomodasi yang terlihat sangat bagus malam.;Ditulis pada 17 Agustus 2016
tytyturtle12;Kunjungan yang sangat baik, agak mahal tapi bagus. Jangan lupa untuk memakai pakaian panjang untuk masuk dengan mudah sekitar. Saya sarankan mengambil sebuah panduan audio yang menuntun atau;Ditulis pada 17 Agustus 2016
Tamf1;Hotel ini adalah ridiculously mahal dan semua yang anda dapatkan untuk uang anda adalah kain yang membungkus di sekitar anda selama kunjungan ini dan kemudian kembali ketika anda meninggalkan. Anda akan membayar lebih banyak untuk segala jenis panduan - audio atau sebaliknya.;Ditulis pada 17 Agustus 2016
Severine B;Banyak orang yang datang di sore hari, jadi bisa sangat crouwded. Pastikan anda datang sangat awal atau kemudian (6am) di pagi hari (11:30). Matahari terbit dan terbenam tiket tidak dijual di sana, anda harus membeli mereka di kota (dari operator tur?) Kami mengambil bus dan itu sangat mudah.3500idr untuk tiket (harga tetap, tidak peduli berapa banyak berhenti) dengan Jombor transyogya ke dan dari sana mereka memandu anda ke bus ke borobudur. Bus yang memakan waktu sekitar satu jam dan biaya 25000idr salah satu cara. Mereka menurunkan anda di bandara dan dari sana itu berjalan kaki singkat ke pintu masuk. Tips: Dalam perjalanan anda lulus 2 toko di mana anda dapat membeli air dan makanan ringan (jauh lebih murah daripada toko di pintu masuk).kuil sangat indah, tetapi mengambil gambar tanpa orang-orang ini adalah sebuah tantangan! Tempat yang bagus untuk gambar adalah di bawah candi. Sebelum menaiki tangga, belok kiri. Jika tidak ada untuk banyak orang, anda dapat mengambil beberapa gambar yang bagus.kami tiba di 11:30 dan mengambil bus kembali sekitar jam 3pm. Kami membaca di internet bahwa bis terakhir kembali pada 3 atau 15:15 dan sepertinya terjadi (kami tidak meminta uang, tapi kami melihat ini pada kartu driver)Biaya masuk adalah mahal dibandingkan dengan apa yang orang membayar.;Ditulis pada 16 Agustus 2016
Noemi E.;Kami melakukan perjalanan dari semarang ke borobudur yang adalah 4 jam berkendara, ini adalah pasti layak perjalanan! Setiap bagian dari kuil memiliki cerita yang berbeda. Di pagi hari atau sore hari untuk menghindari panas yang direkomendasikan untuk panas matahari. Saya memiliki rasa takut ketinggian tapi teman saya membantu saya di jalan dan saya sarankan untuk tidak melihat ke bawah. Beberapa batu lantai bergerak sehingga menjadi sangat berhati-hati untuk tidak melompat di atasnya. Mendaki dan duduk di beberapa bagian candi juga tidak diperbolehkan untuk melindungi dan juga untuk keamanan wisatawan. Mereka yang mengenakan celana pendek diberikan sarung sebagai tanda rasa hormat untuk tempat ini.;Ditulis pada 15 Agustus 2016
Twillink;Bahkan tanpa matahari, berkabut sebagai latar belakang yang indah. Ada banyak penjual memaksa, seperti yang anda harapkan dari sebuah tempat wisata.;Ditulis pada 14 Agustus 2016
Ali Fauji;Saya beberapa kali datang ke borobudur. Tapi aku akan selalu menyukainya. Tempat ini sangat menakjubkan. Kami harus mengenakan sarung dan sandal jepit untuk menjaga tempat ini bersih, untuk menghormati tempat yang suci.;Ditulis pada 13 Agustus 2016
cool_satchmo;Candi borobudur ini merupakan objek wisata yang wajib dikunjungi jika anda mengunjungi indonesia. Pengalaman yang luar biasa untuk mendaki banyak masyarakat yang menuju ke kuil ini sangat populer. Satu-satunya pengalaman yang membuat frustrasi adalah bahwa anda harus berjalan melewati ratusan toko kecil yang menjual suvenir dan kaos ketika anda keluar dari situs - ini bisa dihindari karena sebagian besar toko tersebut tampaknya tidak melakukan banyak bisnis;Ditulis pada 13 Agustus 2016
Joolzok;Candi borobudur adalah benar-benar menakjubkan. Waktu berikutnya. Aku akan tidak perlu khawatir terlalu banyak baik matahari terbit atau tidak - itu berawan hari kami pergi hal pertama - kemudian dibersihkan blue sky oleh 8 atau 9am. Ada ribuan panel, patung, ukiran dll dan itu cukup luar biasa. Pemandangan yang menakjubkan. Tidak ada yang bisa dilakukan tempat ini ulasan yang sebenarnya. Pintu keluar menuju ke pasar. Saya memiliki paling lezat pisang pancake dan kopi di sini setelah melihat kuil.;Ditulis pada 12 Agustus 2016
;;
F S;Sulit untuk menggambarkan dalam kata-kata kuil, karena itu adalah sesuatu untuk pengalaman. Kuil ini sangat terawat dan masih utuh di ukiran sangat detail. Kami tiba sangat awal, setelah tinggal di manohara, sehingga mengalahkan sebagian besar dari keramaian. Cuaca masih dingin, sehingga kami bisa dengan nyaman menikmati damai, tenang suasana kuil. Itu bagus untuk dapat mengambil waktu anda untuk berjalan di sekitar dan menghargai kuil anda sendiri. Kami kembali di sore hari, sebelum matahari terbenam dan menemukan banyak turis, seperti fotografer, yang memiliki kamera diatur untuk mengejar matahari terbenam. Kami mendapat foto yang bagus di golden jam dan menangkap sedikit matahari terbenam sebelum kami diberitahu bahwa candi ditutup (mereka dengan tiket untuk melihat matahari terbenam dapat tinggal).;Ditulis pada 12 Agustus 2016
Edward S;Kali kedua saya untuk mengunjungi borobudur, dan karena itu selalu menakjubkan yang pernah ada!Cinta itu sangat banyak, dan seperti untuk kembali kadang-kadang lagi! Untuk melihat matahari terbit, itu ajaib dan saya terpesona, beruntung karena cuaca sangat tepat.;Ditulis pada 11 Agustus 2016
Cristina C.;Ini dilestarikan dengan baik dan sangat besar! Benar-benar menikmati camboya it. setelah angkor wat di kuil ini selain dengan prambanan dimana marvellouse!;Ditulis pada 11 Agustus 2016
Brais G;Salah satu kuil yang paling penting di asia. Kami tiba di sana pada 6:30 dan penuh. Jika anda. Saya akan tiba di 6am untuk menikmati lebih;Ditulis pada 10 Agustus 2016
JihaY2013;Akan memastikan untuk membawa identitas (ktp/paspor) di pintu masuk. Ini adalah tempat yang bagus untuk belajar tentang cerita yang ditulis di dinding kuil. Mereka mengenai elemen umat buddha yang sedang berlatih di zaman kuno. pengetahuan yang sangat berharga. Saya akan mengatakan. Kompleks ini bersih dan baik - baik juga. Ada banyak tangga, harus ekstra hati-hati jika anda bepergian dengan anak-anak. Secara keseluruhan, itu adalah pengalaman yang baik.Namun, setelah membayar Rp260, 000 (untuk tamu internasional) terlalu banyak. Teman indonesia saya hanya membayar Rp30, 000. Oleh menghabiskan jumlah uang itu. Saya berharap untuk menerima beberapa brosur/selebaran dari manajemen hotel, bahkan tidak ada. Apa yang begitu berbeda karena tamu internasional itu?;Ditulis pada 10 Agustus 2016
TravellingMong;Ini harus menjadi bagian dari perjalanan ke yogyakarta.Kami memilih untuk matahari terbenam tur melalui meja tur di hotel manohara. Sangat direkomendasikan ketika anda tinggal sampai gelap (situs web resmi tutup pukul 17:15 untuk pengunjung biasa). Kuil menjadi pengalaman yang sama sekali berbeda dengan kerumunan pergi dan matahari terbenam yang lebih landai.Anda bisa mendapatkan panduan tapi berjalan di setiap lantai dengan beberapa informasi dari google sudah cukup bagi kami.;Ditulis pada 10 Agustus 2016
M V;Tempat luar biasa ini harus dikunjungi oleh siapapun yang tertarik dalam pemandangan, budaya dan sejarah. Benar-benar pemandangan yang memukau sekeliling candi buddha yang menakjubkan ini 1 jam dari yogyakarta. Ini adalah monumen paling banyak dikunjungi di indonesia dan harus pada daftar anda. Tur di inggris yang terjangkau dan direkomendasikan jika anda tidak akrab dengan buddhisme atau kompleks kuil ini.;Ditulis pada 10 Agustus 2016
shelly-p43;Pergi untuk melihat matahari terbit (bersama dengan banyak dan banyak orang lain). Kami memiliki panduan yang baik yang mengarahkan kami ke semua tempat yang tepat pada waktu yang tepat. Kami sangat beruntung untuk melihat matahari terbit yang menakjubkan di set oleh dataran rendah harus lebih dari lembah - baik layak lebih awal;Ditulis pada 10 Agustus 2016
Emmanuel N;Saya sangat terkesan dengan fakta bahwa tempat ini telah ada berabad! Arsitektur ini dengan begitu banyak misteri dan indah dimasak. Di USD20 per entri untuk orang asing, secara pribadi saya pikir itu adalah layak di kunjungi, mengingat ini juga merupakan situs warisan budaya unesco, dan uang yang diperlukan untuk pemeliharaan tempat.Pemandangan kekaguman inspirasi. Latar belakang untuk mati untuk, di mana phototaking adalah khawatir!jangan lupa juga mengunjungi kuil Prambanam!;Ditulis pada 9 Agustus 2016
David Reguill;Luar biasa candi yang hanya 1 jam dari yogyakarta dengan menggunakan mobil. Ukuran besar dan tempat itu sangat baik kondisinya. Anda dapat dengan mudah menghabiskan 3 jam di sana seperti pemandangan dari sana juga sangat bagus.;Ditulis pada 9 Agustus 2016
;;
MarkMcG1956;Tidak semua memiliki matahari terbit - layak upaya untuk pergi ke sana untuk matahari terbit, bahkan jika tidak ada sinar matahari. Untuk mendapatkan kesan terbaik, menyewa pemandu yang dapat memberikan anda banyak informasi yang akan dilewatkan oleh hanya mencari. Layak tambahan biaya.;Ditulis pada 9 Agustus 2016
dianarodriguez8;Kami mengambil taksi dari yogyakarta dan melakukan hari perjalanan ke borobudur. Kuil ini sangat luar biasa. Semi yang lumayan besar sesuai dengan harganya. Saya sering mendengar tentang tur yang pergi ke sana untuk matahari terbit. Saya ingin melakukannya waktu berikutnya tetapi masih dengan pemandangan luar biasa di pertengahan pagi. Saya akan merekomendasikan membaca pada candi sebelum pergi jika anda akan menghadiri tanpa pemandu.;Ditulis pada 9 Agustus 2016
Aleksandra;Tempat yang sempurna untuk pergi untuk melihat matahari terbit. Candi yang indah. Pengalaman yang hebat, benar-benar layak melihat ketika anda sedang di pulau jawa. Dua hari di borobudur cukup meskipun.;Ditulis pada 8 Agustus 2016
Bali Beach Surf S;1 dari tujuan terbaik di dunia. kuil ini sangat indah, tempat ini bersih dan layanan adalah yang terbaik. anda harus mengunjungi;Ditulis pada 8 Agustus 2016
Mieze K;kuil buddha besar di mana restaurators melakukan pekerjaan yang luar biasa untuk menyelesaikan teka-teki setelah candi telah ditemukan kembali. Ramai di siang hari. Kami berada di sana saat matahari terbit. Bahkan di matahari terbit, banyak orang berada di sana selama musim ramai (juli). Namun kami dapat menikmati pemandangan sebelum orang banyak tiba.;Ditulis pada 6 Agustus 2016
PrithviHaldea;Kompleks kuil ini sangat kokoh 9th century, sangat mengesankan, sangat baik meletakkan keluar. Ini sangat layak untuk dikunjungi.;Ditulis pada 6 Agustus 2016
yummymummyWellington;Tempat yang indah untuk mengunjungi dengan pemandangan yang sangat bagus. Banyak orang yang mengunjungi, tapi itu tidak merasa lebih ramai. Alasan yang rapi terus dan sangat indah. Layak untuk dikunjungi.;Ditulis pada 6 Agustus 2016
Sarla T;Candi borobudur yang indah dan layak untuk dikunjungi, tetapi beberapa hal yang saya ingin menyebutkan.1. - Sampai di sana jika anda bepergian dari yogyakarta, itu adalah sebuah perjalanan panjang dan saya akan merekomendasikan untuk mencoba untuk tidak berkunjung pada hari minggu, banyak lalu lintas dan itu akan mengambil sekitar 2 jam. Sopir kami mengatakan kepada kami bahwa hari minggu adalah hari yang sangat sibuk. 2. - Biaya temple, hotel ini sangat mahal selama hari (8-5pm) adalah 260 000,00 rupeas setiap orang dan untuk matahari terbit dan matahari terbenam adalah 400 000,00 rupeas setiap untuk setiap orang, sehingga anda harus siap untuk tidak biaya tinggi, dan anda tidak dapat datang kembali bahkan di hari yang sama, jadi itu agak mahal. 3. - yang terbaik yang mungkin akan tinggal di salah satu hotel lokal. 4. - Di kota itu sendiri adalah kasar, dan tidak banyak yang harus dilakukan di samping kuil. 5. - Jika anda vegetarian, sangat sulit untuk menemukan makanan, luckely hotel untuk mengubah menu mereka.;Ditulis pada 6 Agustus 2016
JosMontulet;Hari ini kami mengunjungi kompleks candi budha ini. Kami mulai hari kami dengan borobudur di enam o jam. Di pagi hari tidak begitu sibuk dan suhu yang lebih baik untuk naik semua tangga tersebut. Saya akan merekomendasikan untuk menyewa pemandu (100,000 Rupiah=€7,50). Kami menyewa sebuah panduan yang membuat kunjungan kami bahkan lebih baik. Kami belajar banyak dari dia tentang kuil dan buddha secara umum. Setelah mengunjungi candi anda harus makan siang di restoran terdekat, tidak mahal dan baik makanan dan minuman.;Ditulis pada 6 Agustus 2016
ChiaraPepa;Jika anda datang ke Giava anda tidak boleh melewatkan untuk berkunjung ke candi borobudur, salah satu lokasi yang paling penting yang beragama budha. Spektakuler dan kabah, paling pergi untuk melihat itu sangat awal sebelum matahari terbit, tetapi ingatlah, bahwa biasanya kabut adalah begitu kuat anda tidak dapat menikmati matahari terbit yang berlaku saat di stupa. Hotel ini juga cukup mengesankan pemandangan dari bukit di dekatnya jika anda memiliki kesempatan untuk pergi ke sana sebelum memasuki kawasan ini. Alam sekitar yang fantastis benar. Saya sarankan untuk datang awal (5 30 - 6 jam) saat cuaca masih dingin dan itu tidak terlalu ramai namun.;Ditulis pada 6 Agustus 2016
